Title,Description,Price,PriceNumeric,Location,ContactNumber,PropertyType,Floor,Bedrooms,Bathrooms,Area,UploadTime,SourceURL,SearchLocation,ExtractedAt,TitleHash,LocationHash,PriceHash,ContactHash
"Shared Office Space for Rent - Safari 1 Bahria Town - Beautiful View","Shared Office Space for Rent - Safari 1 Bahria Town - Beautiful View","Rs 15,000","15000","Bahria Town - Safari Villas, Rawalpindi•","Not available","Office","","","","","3 weeks ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T12:56:26.587Z","gxbqr3","176x8f","nqmdij","rh65au"
"LG floor available for rent in bahria town phase 4 Civic centre reasonable rent","LG floor available for rent in bahria town phase 4 Civic centre reasonable rent","Rs 90,000","90000","Bahria Town - Civic Centre, Rawalpindi•","Not available","Floor","","","","","4 days ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T12:56:26.587Z","cyug5b","wvv8ih","nuxjbs","rh65au"
"Office For Rent In PWD Road","Office For Rent In PWD Road","Rs 35,000","35000","PWD Road, Islamabad•","Not available","Office","","","","","1 day ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T12:56:26.587Z","ty7alq","woipl7","nrpyp9","rh65au"
"Shop On First Floor Available For Rent","Shop On First Floor Available For Rent","Rs 12,000","12000","Gulberg Greens, Islamabad•","Not available","Shop","","","","","3 days ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T12:56:26.587Z","wy00zu","reidzo","nqkgjy","rh65au"
"Fully Furnished & Serviced Private Offices","Fully Furnished & Serviced Private Offices","Rs 35,000","35000","Blue Area - Block R, Islamabad•","Not available","Office","","","","","3 weeks ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T12:56:26.587Z","1zg54l","rd00vu","nrpyp9","rh65au"
"SnS Solutions Offers FREE FURNISHED Co-Working Space With 1st Month @50% Off","SnS Solutions Offers FREE FURNISHED Co-Working Space With 1st Month @50% Off","Rs 21,000","21000","DHA Defence Phase 2, Islamabad•","Not available","Other","","","","","1 week ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T12:56:26.587Z","q64sky","vzygu0","nr3m5s","rh65au"
"Hall For Rent On Main GT Road Rawat","Hall For Rent On Main GT Road Rawat","Rs 1 Lac","100000","Rawat, Islamabad•","Not available","Hall","","","","","3 weeks ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T12:56:26.587Z","kvnphp","7hfuif","f9t7ya","rh65au"
"Ground Floor Shop Civic Center","Ground Floor Shop Civic Center","Rs 35,000","35000","Bahria Town - Civic Centre, Rawalpindi•","Not available","Shop","","","","","1 day ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T12:56:26.587Z","ipz0c","wvv8ih","nrpyp9","rh65au"
"Ground floor shop available for rent in civic center phase 4 bahira town Rawalpindi","Ground floor shop available for rent in civic center phase 4 bahira town Rawalpindi","Rs 70,000","70000","Bahria Town - Civic Centre, Rawalpindi•","Not available","Shop","","","","","2 days ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T12:56:26.587Z","97r08p","wvv8ih","ntty52","rh65au"
"Office space available for rent in bahria town phase 4 civic center","Office space available for rent in bahria town phase 4 civic center","Rs 43,000","43000","Bahria Town - Civic Centre, Rawalpindi•","Not available","Office","","","","","3 days ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T12:56:26.587Z","iex8t1","wvv8ih","ns8hbk","rh65au"
