Title,Description,Price,PriceNumeric,Location,PropertyType,Floor,Bedrooms,Bathrooms,Area,UploadTime,SourceURL,SearchLocation,ExtractedAt,TitleHash,LocationHash,PriceHash
"Shared Office Space for Rent - Safari 1 Bahria Town - Beautiful View","Shared Office Space for Rent - Safari 1 Bahria Town - Beautiful View","Rs 15,000","15000","Bahria Town - Safari Villas, Rawalpindi•","Office","","","","","3 weeks ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","gxbqr3","176x8f","nqmdij"
"LG floor available for rent in bahria town phase 4 Civic centre reasonable rent","LG floor available for rent in bahria town phase 4 Civic centre reasonable rent","Rs 90,000","90000","Bahria Town - Civic Centre, Rawalpindi•","Floor","","","","","4 days ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","cyug5b","wvv8ih","nuxjbs"
"Office For Rent In PWD Road","Office For Rent In PWD Road","Rs 35,000","35000","PWD Road, Islamabad•","Office","","","","","1 day ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","ty7alq","woipl7","nrpyp9"
"Hall For Rent On Main GT Road Rawat","Hall For Rent On Main GT Road Rawat","Rs 1 Lac","100000","Rawat, Islamabad•","Hall","","","","","3 weeks ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","kvnphp","7hfuif","f9t7ya"
"Fully Furnished & Serviced Private Offices","Fully Furnished & Serviced Private Offices","Rs 35,000","35000","Blue Area - Block R, Islamabad•","Office","","","","","3 weeks ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","1zg54l","rd00vu","nrpyp9"
"Shop On First Floor Available For Rent","Shop On First Floor Available For Rent","Rs 12,000","12000","Gulberg Greens, Islamabad•","Shop","","","","","3 days ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","wy00zu","reidzo","nqkgjy"
"SnS Solutions Offers FREE FURNISHED Co-Working Space With 1st Month @50% Off","SnS Solutions Offers FREE FURNISHED Co-Working Space With 1st Month @50% Off","Rs 21,000","21000","DHA Defence Phase 2, Islamabad•","Other","","","","","1 week ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","q64sky","vzygu0","nr3m5s"
"Ground Floor Shop Civic Center","Ground Floor Shop Civic Center","Rs 35,000","35000","Bahria Town - Civic Centre, Rawalpindi•","Shop","","","","","1 day ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","ipz0c","wvv8ih","nrpyp9"
"Ground floor shop available for rent in civic center phase 4 bahira town Rawalpindi","Ground floor shop available for rent in civic center phase 4 bahira town Rawalpindi","Rs 70,000","70000","Bahria Town - Civic Centre, Rawalpindi•","Shop","","","","","2 days ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","97r08p","wvv8ih","ntty52"
"Office space available for rent in bahria town phase 4 civic center","Office space available for rent in bahria town phase 4 civic center","Rs 43,000","43000","Bahria Town - Civic Centre, Rawalpindi•","Office","","","","","3 days ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","iex8t1","wvv8ih","ns8hbk"
"Bahria Town Phase 8 Shop For Rent","Bahria Town Phase 8 Shop For Rent","Rs 35,000","35000","Bahria Town Phase 8, Rawalpindi•","Shop","","","","","3 days ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","7bb7uk","7pqzih","nrpyp9"
"Non furnished office space available for rent in bahria town phase 4 Civic centre","Non furnished office space available for rent in bahria town phase 4 Civic centre","Rs 40,000","40000","Bahria Town - Civic Centre, Rawalpindi•","Office","","","","","4 days ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","rfjcm","wvv8ih","ns6kcz"
"Hall Available For Rent","Hall Available For Rent","Rs 60,000","60000","Hub Commercial, Rawalpindi•","Hall","","","","","4 days ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","bg1a26","dg99ra","nta5jp"
"Office Purpose One Bed Room Brand New Available For Rent","Office Purpose One Bed Room Brand New Available For Rent","Rs 35,000","35000","Bahria Town Phase 7, Rawalpindi•","Office","1 Bed1 Bath650 SQFT","1 Bed","1 Bath","650 SQFT","5 days ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","i2bb6y","m03x12","nrpyp9"
"Beautiful office available for rent in Bahria Town Phase 7","Beautiful office available for rent in Bahria Town Phase 7","Rs 30,000","30000","Bahria Town Phase 7, Rawalpindi•","Office","","","","","6 days ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","a5xbmi","m03x12","nrmrrm"
"Beautiful brand new office available for rent in Bahria paradise commercial","Beautiful brand new office available for rent in Bahria paradise commercial","Rs 70,000","70000","Bahria Paradise, Rawalpindi•","Office","","","","","6 days ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","3fiy7a","9c57i7","ntty52"
"Bahria Civic Center Open Space For Rent","Bahria Civic Center Open Space For Rent","Rs 90,000","90000","Bahria Town - Civic Centre, Rawalpindi•","Other","","","","","1 week ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","7cc7jw","wvv8ih","nuxjbs"
