Title,Description,Price,PriceNumeric,Location,ContactNumber,PropertyType,Floor,Bedrooms,Bathrooms,Area,UploadTime,SourceURL,SearchLocation,ExtractedAt,TitleHash,LocationHash,PriceHash,ContactHash
"Office For Rent In PWD Road","Office For Rent In PWD Road","Rs 35,000","35000","PWD Road, Islamabad•","Not available","Office","","","","","1 day ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","ty7alq","woipl7","nrpyp9","rh65au"
"Shared Office Space for Rent - Safari 1 Bahria Town - Beautiful View","Shared Office Space for Rent - Safari 1 Bahria Town - Beautiful View","Rs 15,000","15000","Bahria Town - Safari Villas, Rawalpindi•","Not available","Office","","","","","3 weeks ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","gxbqr3","176x8f","nqmdij","rh65au"
"Shop On First Floor Available For Rent","Shop On First Floor Available For Rent","Rs 12,000","12000","Gulberg Greens, Islamabad•","Not available","Shop","","","","","3 days ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","wy00zu","reidzo","nqkgjy","rh65au"
"SnS Solutions Offers FREE FURNISHED Co-Working Space With 1st Month @50% Off","SnS Solutions Offers FREE FURNISHED Co-Working Space With 1st Month @50% Off","Rs 21,000","21000","DHA Defence Phase 2, Islamabad•","Not available","Other","","","","","1 week ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","q64sky","vzygu0","nr3m5s","rh65au"
"Fully Furnished & Serviced Private Offices","Fully Furnished & Serviced Private Offices","Rs 35,000","35000","Blue Area - Block R, Islamabad•","Not available","Office","","","","","3 weeks ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","1zg54l","rd00vu","nrpyp9","rh65au"
"LG floor available for rent in bahria town phase 4 Civic centre reasonable rent","LG floor available for rent in bahria town phase 4 Civic centre reasonable rent","Rs 90,000","90000","Bahria Town - Civic Centre, Rawalpindi•","Not available","Floor","","","","","4 days ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","cyug5b","wvv8ih","nuxjbs","rh65au"
"Hall For Rent On Main GT Road Rawat","Hall For Rent On Main GT Road Rawat","Rs 1 Lac","100000","Rawat, Islamabad•","Not available","Hall","","","","","3 weeks ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","kvnphp","7hfuif","f9t7ya","rh65au"
"I-8 Markaz 450 SQ/FT office for rent","I-8 Markaz 450 SQ/FT office for rent","Rs 80,000","80000","I-8 Markaz, Islamabad•","Not available","Office","","","","","4 days ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","87oio","6jnoj","nudqqf","rh65au"
"I-8 Markaz 452 SQ/FT Office For Rent","I-8 Markaz 452 SQ/FT Office For Rent","Rs 80,000","80000","I-8 Markaz, Islamabad•","Not available","Office","","","","","3 weeks ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","x7h4f6","6jnoj","nudqqf","rh65au"
"I-8 Markaz 355 SQ/FT Office For Rent","I-8 Markaz 355 SQ/FT Office For Rent","Rs 1.17 Lac","117000","I-8 Markaz, Islamabad•","Not available","Office","","","","","4 weeks ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","4vupic","6jnoj","pk3nh4","rh65au"
"For Rent Office 3rd Floor","For Rent Office 3rd Floor","Rs 65,000","65000","I-8 Markaz, Islamabad•","Not available","Office","","","","","7 hours ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","3eiiit","6jnoj","ntdchc","rh65au"
