Title,Description,Price,PriceNumeric,Location,PropertyType,Floor,Bedrooms,Bathrooms,Area,UploadTime,SourceURL,SearchLocation,ExtractedAt,TitleHash,LocationHash,PriceHash
"Office For Rent In PWD Road","Office For Rent In PWD Road","Rs 35,000","35000","PWD Road, Islamabad•","Office","","","","","1 day ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","ty7alq","woipl7","nrpyp9"
"Shop On First Floor Available For Rent","Shop On First Floor Available For Rent","Rs 12,000","12000","Gulberg Greens, Islamabad•","Shop","","","","","3 days ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","wy00zu","reidzo","nqkgjy"
"Fully Furnished & Serviced Private Offices","Fully Furnished & Serviced Private Offices","Rs 35,000","35000","Blue Area - Block R, Islamabad•","Office","","","","","3 weeks ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","1zg54l","rd00vu","nrpyp9"
"Hall For Rent On Main GT Road Rawat","Hall For Rent On Main GT Road Rawat","Rs 1 Lac","100000","Rawat, Islamabad•","Hall","","","","","3 weeks ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","kvnphp","7hfuif","f9t7ya"
"SnS Solutions Offers FREE FURNISHED Co-Working Space With 1st Month @50% Off","SnS Solutions Offers FREE FURNISHED Co-Working Space With 1st Month @50% Off","Rs 21,000","21000","DHA Defence Phase 2, Islamabad•","Other","","","","","1 week ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","q64sky","vzygu0","nr3m5s"
"Office For Rent","Office For Rent","Rs 65,000","65000","G-11 Markaz, Islamabad•","Office","","","","","4 hours ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","bv8406","je5285","ntdchc"
"Office For Rent","Office For Rent","Rs 67,000","67000","G-11, Islamabad•","Office","","","","","5 hours ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","bv8406","cxw1bp","ntemge"
"Furnished office for rent in F11 markaz","Furnished office for rent in F11 markaz","Rs 95,000","95000","F-11, Islamabad•","Office","","","","","16 hours ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","ff60wd","f2qq6s","nv0q9f"
"Office for Rent G-11 Markaz, Islamabad | 425 Sq Ft","Office for Rent G-11 Markaz, Islamabad | 425 Sq Ft","Rs 70,000","70000","G-11 Markaz, Islamabad•","Office","","","","","19 hours ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","qjlo94","je5285","ntty52"
"1000 SQ, FT Office for Rent In DHA Phase 2","1000 SQ, FT Office for Rent In DHA Phase 2","Rs 60,000","60000","DHA Defence Phase 2, Islamabad•","Office","","","","","23 hours ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","700l9w","vzygu0","nta5jp"
"Office for rent available in E-11","Office for rent available in E-11","Rs 12,000","12000","E-11, Islamabad•","Office","","","","","1 day ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","3obtyb","h7lf1v","nqkgjy"
"Office For Rent in DHA Phase 2 3rd floor 1000 sq ft.","Office For Rent in DHA Phase 2 3rd floor 1000 sq ft.","Rs 60,000","60000","DHA Defence Phase 2, Islamabad•","Office","","","","","1 day ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","enm8u3","vzygu0","nta5jp"
"Brand New Studio Office For Rent In Faisal Town Islamabad","Brand New Studio Office For Rent In Faisal Town Islamabad","Rs 30,000","30000","Faisal Town - F-18, Islamabad•","Office","","","","","2 days ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","wfy0wk","s4u3c7","nrmrrm"
"Office For Rent At G-11 Markaz","Office For Rent At G-11 Markaz","Rs 65,000","65000","G-11, Islamabad•","Office","","","","","3 days ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","mz69ho","cxw1bp","ntdchc"
"BLUE AREA OFFICE FOR RENT","BLUE AREA OFFICE FOR RENT","Rs 1.20 Lac","120000","Blue Area, Islamabad•","Office","","","","","3 days ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","lmlvi7","exavh1","pkiz5s"
"BRAND NEW OFFICE FOR RENT F-8 MARKAZ","BRAND NEW OFFICE FOR RENT F-8 MARKAZ","Rs 1.05 Lac","105000","F-8 Markaz, Islamabad•","Office","","","","","3 days ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","fqoid7","3pe0yi","pjikwp"
"I-8 Markaz 450 SQ/FT office for rent","I-8 Markaz 450 SQ/FT office for rent","Rs 80,000","80000","I-8 Markaz, Islamabad•","Office","","","","","4 days ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","87oio","6jnoj","nudqqf"
"Renovated Office For Rent","Renovated Office For Rent","Rs 85,000","85000","G-11, Islamabad•","Office","","","","","1 week ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","dljua6","cxw1bp","nugxo2"
"Half Furnished Office For Rent In G-11 Markaz","Half Furnished Office For Rent In G-11 Markaz","Rs 35,000","35000","G-11 Markaz, Islamabad•","Office","","","","","1 week ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","9osvtt","je5285","nrpyp9"
"F10 Office For Rent","F10 Office For Rent","Rs 95,000","95000","F-10, Islamabad•","Office","","","","","1 week ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","t03li7","btqreb","nv0q9f"
"Office for rent in g-11 markaz Islamabad","Office for rent in g-11 markaz Islamabad","Rs 70,000","70000","G-11, Islamabad•","Office","","","","","2 weeks ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","tw87dc","cxw1bp","ntty52"
"Luxurious Brand New Offices For Rent In PWD Housing Sheme - Ideal For VariousBusinesses!","Luxurious Brand New Offices For Rent In PWD Housing Sheme - Ideal For VariousBusinesses!","Rs 12,500","12500","PWD Housing Scheme, Islamabad•","Office","","","","","2 weeks ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","bepw6u","hgsfu5","nqkk9f"
"Luxurious Brand New Offices For Rent In Pakistan Town - Ideal For VariousBusinesses","Luxurious Brand New Offices For Rent In Pakistan Town - Ideal For VariousBusinesses","Rs 12,500","12500","Pakistan Town, Islamabad•","Office","","","","","2 weeks ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","cjijqb","x53y1v","nqkk9f"
"Luxurious Brand New Offices for Rent in PWD Road - Ideal for VariousBusinesses","Luxurious Brand New Offices for Rent in PWD Road - Ideal for VariousBusinesses","Rs 12,500","12500","PWD Road, Islamabad•","Office","","","","","2 weeks ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","ytjy9","woipl7","nqkk9f"
