Title,Description,Price,PriceNumeric,Location,PropertyType,Floor,Bedrooms,Bathrooms,Area,UploadTime,TitleHash,LocationHash,PriceHash,ExtractionDate,Source
"LG floor available for rent in bahria town phase 4 Civic centre reasonable rent","LG floor available for rent in bahria town phase 4 Civic centre reasonable rent","Rs 90,000","90000","Bahria Town - Civic Centre, Rawalpindi•","Floor","","","","","1 day ago","cyug5b","wvv8ih","nuxjbs","2025-09-03T04:45:43.790Z","OLX Pakistan"
"Shared Office Space for Rent - Safari 1 Bahria Town - Beautiful View","Shared Office Space for Rent - Safari 1 Bahria Town - Beautiful View","Rs 15,000","15000","Bahria Town - Safari Villas, Rawalpindi•","Office","","","","","2 weeks ago","gxbqr3","176x8f","nqmdij","2025-09-03T04:45:43.790Z","OLX Pakistan"
"Shop On First Floor Available For Rent","Shop On First Floor Available For Rent","Rs 12,000","12000","Gulberg Greens, Islamabad•","Shop","","","","","23 hours ago","wy00zu","reidzo","nqkgjy","2025-09-03T04:45:43.790Z","OLX Pakistan"
"SnS Solutions Offers FREE FURNISHED Co-Working Space With 1st Month @50% Off","SnS Solutions Offers FREE FURNISHED Co-Working Space With 1st Month @50% Off","Rs 21,000","21000","DHA Defence Phase 2, Islamabad•","Other","","","","","5 days ago","q64sky","vzygu0","nr3m5s","2025-09-03T04:45:43.790Z","OLX Pakistan"
"Hall For Rent On Main GT Road Rawat","Hall For Rent On Main GT Road Rawat","Rs 1 Lac","100000","Rawat, Islamabad•","Hall","","","","","3 weeks ago","kvnphp","7hfuif","f9t7ya","2025-09-03T04:45:43.790Z","OLX Pakistan"
"Fully Furnished & Serviced Private Offices","Fully Furnished & Serviced Private Offices","Rs 35,000","35000","Blue Area - Block R, Islamabad•","Office","","","","","3 weeks ago","1zg54l","rd00vu","nrpyp9","2025-09-03T04:45:43.791Z","OLX Pakistan"
"Office space available for rent in bahria town phase 4 civic center","Office space available for rent in bahria town phase 4 civic center","Rs 43,000","43000","Bahria Town - Civic Centre, Rawalpindi•","Office","","","","","15 hours ago","iex8t1","wvv8ih","ns8hbk","2025-09-03T04:45:43.791Z","OLX Pakistan"
"Bahria Town Phase 8 Shop For Rent","Bahria Town Phase 8 Shop For Rent","Rs 35,000","35000","Bahria Town Phase 8, Rawalpindi•","Shop","","","","","1 day ago","7bb7uk","7pqzih","nrpyp9","2025-09-03T04:45:43.791Z","OLX Pakistan"
"Non furnished office space available for rent in bahria town phase 4 Civic centre","Non furnished office space available for rent in bahria town phase 4 Civic centre","Rs 40,000","40000","Bahria Town - Civic Centre, Rawalpindi•","Office","","","","","1 day ago","rfjcm","wvv8ih","ns6kcz","2025-09-03T04:45:43.791Z","OLX Pakistan"
"Hall Available For Rent","Hall Available For Rent","Rs 60,000","60000","Hub Commercial, Rawalpindi•","Hall","","","","","2 days ago","bg1a26","dg99ra","nta5jp","2025-09-03T04:45:43.791Z","OLX Pakistan"
"Office Purpose One Bed Room Brand New Available For Rent","Office Purpose One Bed Room Brand New Available For Rent","Rs 35,000","35000","Bahria Town Phase 7, Rawalpindi•","Office","1 Bed1 Bath650 SQFT","1 Bed","1 Bath","650 SQFT","3 days ago","i2bb6y","m03x12","nrpyp9","2025-09-03T04:45:43.791Z","OLX Pakistan"
"Beautiful office available for rent in Bahria Town Phase 7","Beautiful office available for rent in Bahria Town Phase 7","Rs 30,000","30000","Bahria Town Phase 7, Rawalpindi•","Office","","","","","4 days ago","a5xbmi","m03x12","nrmrrm","2025-09-03T04:45:43.791Z","OLX Pakistan"
"Beautiful brand new office available for rent in Bahria paradise commercial","Beautiful brand new office available for rent in Bahria paradise commercial","Rs 70,000","70000","Bahria Paradise, Rawalpindi•","Office","","","","","4 days ago","3fiy7a","9c57i7","ntty52","2025-09-03T04:45:43.791Z","OLX Pakistan"
"Bahria Civic Center Open Space For Rent","Bahria Civic Center Open Space For Rent","Rs 90,000","90000","Bahria Town - Civic Centre, Rawalpindi•","Other","","","","","1 week ago","7cc7jw","wvv8ih","nuxjbs","2025-09-03T04:45:43.791Z","OLX Pakistan"
"Ground Floor Shop Available for Rent in Bahria Town Phase-7 Rawalpindi","Ground Floor Shop Available for Rent in Bahria Town Phase-7 Rawalpindi","Rs 90,000","90000","Bahria Town Phase 7, Rawalpindi•","Shop","","","","","1 week ago","100bap","m03x12","nuxjbs","2025-09-03T04:45:43.791Z","OLX Pakistan"
"Ground Floor Shop Civic Center","Ground Floor Shop Civic Center","Rs 35,000","35000","Bahria Town - Civic Centre, Rawalpindi•","Shop","","","","","1 week ago","ipz0c","wvv8ih","nrpyp9","2025-09-03T04:45:43.791Z","OLX Pakistan"
"3side corner hall available for rent bahria town phase 8 rawalpindi","3side corner hall available for rent bahria town phase 8 rawalpindi","Rs 1.10 Lac","110000.00000000001","Bahria Business District, Rawalpindi•","Hall","","","","","1 week ago","pe8kvc","1kbze","pjz6kf","2025-09-03T04:45:43.791Z","OLX Pakistan"
"Office Is Available For Rent OPPOSITE TMUC UNIVERSITY","Office Is Available For Rent OPPOSITE TMUC UNIVERSITY","Rs 36,000","36000","Bahria Spring North, Rawalpindi•","Office","","","","","1 week ago","netk05","psz9a6","nrqlos","2025-09-03T04:45:43.791Z","OLX Pakistan"
"Semi Furnished office space available for rent in bahria town phase 4 civic center","Semi Furnished office space available for rent in bahria town phase 4 civic center","Rs 35,000","35000","Bahria Town - Civic Centre, Rawalpindi•","Office","","","","","1 week ago","8wf3qn","wvv8ih","nrpyp9","2025-09-03T04:45:43.791Z","OLX Pakistan"
"Ground floor shop available for rent in civic center phase 4 bahira town Rawalpindi","Ground floor shop available for rent in civic center phase 4 bahira town Rawalpindi","Rs 70,000","70000","Bahria Town - Civic Centre, Rawalpindi•","Shop","","","","","1 week ago","97r08p","wvv8ih","ntty52","2025-09-03T04:45:43.791Z","OLX Pakistan"
"Shop Available For Rent In Phase 7 Bahria Town Rawalpindi","Shop Available For Rent In Phase 7 Bahria Town Rawalpindi","Rs 40,000","40000","Bahria Town Phase 7, Rawalpindi•","Shop","","","","","1 week ago","muzb56","m03x12","ns6kcz","2025-09-03T04:45:43.792Z","OLX Pakistan"
"1500sft Hall In Civic Center Phase4 Bahria Town Rwp","1500sft Hall In Civic Center Phase4 Bahria Town Rwp","Rs 80,000","80000","Bahria Town - Civic Centre, Rawalpindi•","Hall","","","","","2 weeks ago","s772l7","wvv8ih","nudqqf","2025-09-03T04:45:43.792Z","OLX Pakistan"
"Fully Furnished Exactive Office","Fully Furnished Exactive Office","Rs 1.10 Lac","110000.00000000001","Bahria Square Commercial, Rawalpindi•","Office","","","","","4 weeks ago","4dpvc3","llorn3","pjz6kf","2025-09-03T04:45:43.792Z","OLX Pakistan"
"Best Location Shops With Reasonable Rent","Best Location Shops With Reasonable Rent","Rs 1.10 Lac","110000.00000000001","Bahria Town - Civic Centre, Rawalpindi•","Shop","","","","","4 weeks ago","ehepgh","wvv8ih","pjz6kf","2025-09-03T04:45:43.792Z","OLX Pakistan"
"Office For Rent","Office For Rent","Rs 67,000","67000","G-11, Islamabad•","Office","","","","","10 hours ago","bv8406","cxw1bp","ntemge","2025-09-03T04:45:43.792Z","OLX Pakistan"
"Office For Rent At G-11 Markaz","Office For Rent At G-11 Markaz","Rs 65,000","65000","G-11, Islamabad•","Office","","","","","23 hours ago","mz69ho","cxw1bp","ntdchc","2025-09-03T04:45:43.792Z","OLX Pakistan"
"BLUE AREA OFFICE FOR RENT","BLUE AREA OFFICE FOR RENT","Rs 1.20 Lac","120000","Blue Area, Islamabad•","Office","","","","","1 day ago","lmlvi7","exavh1","pkiz5s","2025-09-03T04:45:43.792Z","OLX Pakistan"
"BRAND NEW OFFICE FOR RENT F-8 MARKAZ","BRAND NEW OFFICE FOR RENT F-8 MARKAZ","Rs 1.05 Lac","105000","F-8 Markaz, Islamabad•","Office","","","","","1 day ago","fqoid7","3pe0yi","pjikwp","2025-09-03T04:45:43.792Z","OLX Pakistan"
"Small Office For Rent,Best Option For Call Center, Software House,,","Small Office For Rent,Best Option For Call Center, Software House,,","Rs 20,000","20000","Aries Tower, Rawalpindi•","Office","","","","","2 days ago","8smwut","29tkyy","nr2z69","2025-09-03T04:45:43.792Z","OLX Pakistan"
"Unfurnished 850 Sqft Office for Rent in G-11 Markaz, Islamabad 1st Floor with Private Washroom","Unfurnished 850 Sqft Office for Rent in G-11 Markaz, Islamabad 1st Floor with Private Washroom","Rs 70,000","70000","G-11, Islamabad•","Office","","","","","2 days ago","godulv","cxw1bp","ntty52","2025-09-03T04:45:43.792Z","OLX Pakistan"
"I-8 Markaz 450 SQ/FT office for rent","I-8 Markaz 450 SQ/FT office for rent","Rs 80,000","80000","I-8 Markaz, Islamabad•","Office","","","","","2 days ago","87oio","6jnoj","nudqqf","2025-09-03T04:45:43.792Z","OLX Pakistan"
"460 sq ft Studio Office For Rent for Call Center IT Offices etc","460 sq ft Studio Office For Rent for Call Center IT Offices etc","Rs 45,000","45000","Commercial Market, Rawalpindi•","Office","","","","","3 days ago","e6ih6a","3eidxv","ns9ram","2025-09-03T04:45:43.792Z","OLX Pakistan"
"OFFICE FOR RENT","OFFICE FOR RENT","Rs 32,000","32000","Chandni Chowk, Rawalpindi•","Office","","","","","5 days ago","bv8406","174914","nro1qo","2025-09-03T04:45:43.792Z","OLX Pakistan"
