Title,Description,Price,PriceNumeric,Location,ContactNumber,PropertyType,Floor,Bedrooms,Bathrooms,Area,UploadTime,SourceURL,SearchLocation,ExtractedAt,TitleHash,LocationHash,PriceHash,ContactHash
"Shared Office Space for Rent - Safari 1 Bahria Town - Beautiful View","Shared Office Space for Rent - Safari 1 Bahria Town - Beautiful View","Rs 15,000","15000","Bahria Town - Safari Villas, Rawalpindi•","Not available","Office","","","","","3 weeks ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.050Z","gxbqr3","176x8f","nqmdij","rh65au"
"SnS Solutions Offers FREE FURNISHED Co-Working Space With 1st Month @50% Off","SnS Solutions Offers FREE FURNISHED Co-Working Space With 1st Month @50% Off","Rs 21,000","21000","DHA Defence Phase 2, Islamabad•","Not available","Other","","","","","1 week ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.050Z","q64sky","vzygu0","nr3m5s","rh65au"
"Hall For Rent On Main GT Road Rawat","Hall For Rent On Main GT Road Rawat","Rs 1 Lac","100000","Rawat, Islamabad•","Not available","Hall","","","","","3 weeks ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","kvnphp","7hfuif","f9t7ya","rh65au"
"Shop On First Floor Available For Rent","Shop On First Floor Available For Rent","Rs 12,000","12000","Gulberg Greens, Islamabad•","Not available","Shop","","","","","3 days ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","wy00zu","reidzo","nqkgjy","rh65au"
"Office For Rent In PWD Road","Office For Rent In PWD Road","Rs 35,000","35000","PWD Road, Islamabad•","Not available","Office","","","","","1 day ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","ty7alq","woipl7","nrpyp9","rh65au"
"LG floor available for rent in bahria town phase 4 Civic centre reasonable rent","LG floor available for rent in bahria town phase 4 Civic centre reasonable rent","Rs 90,000","90000","Bahria Town - Civic Centre, Rawalpindi•","Not available","Floor","","","","","4 days ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","cyug5b","wvv8ih","nuxjbs","rh65au"
"Fully Furnished & Serviced Private Offices","Fully Furnished & Serviced Private Offices","Rs 35,000","35000","Blue Area - Block R, Islamabad•","Not available","Office","","","","","3 weeks ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","1zg54l","rd00vu","nrpyp9","rh65au"
"Luxurious Brand New Offices For Rent In PWD Housing Sheme - Ideal For VariousBusinesses!","Luxurious Brand New Offices For Rent In PWD Housing Sheme - Ideal For VariousBusinesses!","Rs 12,500","12500","PWD Housing Scheme, Islamabad•","Not available","Office","","","","","2 weeks ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","bepw6u","hgsfu5","nqkk9f","rh65au"
"3 Bed Flat For Office Purpose In Pwd Walk To ISB Highway","3 Bed Flat For Office Purpose In Pwd Walk To ISB Highway","Rs 40,000","40000","PWD Housing Society - Block D, Islamabad•","Not available","Office","","","","","1 day ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","1r7k6p","7umrrh","ns6kcz","rh65au"
"700 Sqft Office Hall Available For Rent On PWD Housing Scheme Strategically Located For Maximum Visibility And Convenience Ideal For Growing Businesses Looking For A Prime Commercial Space","700 Sqft Office Hall Available For Rent On PWD Housing Scheme Strategically Located For Maximum Visibility And Convenience Ideal For Growing Businesses Looking For A Prime Commercial Space","Rs 55,000","55000","PWD Housing Scheme, Islamabad•","Not available","Office","","","","","2 weeks ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","s8esef","hgsfu5","nstjvz","rh65au"
"Prime Commercial Shop Space Available For Rent In PWD Housing Scheme","Prime Commercial Shop Space Available For Rent In PWD Housing Scheme","Rs 60,000","60000","PWD Housing Scheme, Islamabad•","Not available","Shop","","","","","2 weeks ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","ecrgi2","hgsfu5","nta5jp","rh65au"
"Prime Commercial Shop Space Available For Rent In PWD","Prime Commercial Shop Space Available For Rent In PWD","Rs 45,000","45000","PWD Housing Scheme, Islamabad•","Not available","Shop","","","","","2 weeks ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","5pc5u0","hgsfu5","ns9ram","rh65au"
"Office For Rent","Office For Rent","Rs 65,000","65000","G-11 Markaz, Islamabad•","Not available","Office","","","","","5 hours ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","bv8406","je5285","ntdchc","rh65au"
"Office For Rent","Office For Rent","Rs 67,000","67000","G-11, Islamabad•","Not available","Office","","","","","6 hours ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","bv8406","cxw1bp","ntemge","rh65au"
"Furnished office for rent in F11 markaz","Furnished office for rent in F11 markaz","Rs 95,000","95000","F-11, Islamabad•","Not available","Office","","","","","18 hours ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","ff60wd","f2qq6s","nv0q9f","rh65au"
"Office for Rent G-11 Markaz, Islamabad | 425 Sq Ft","Office for Rent G-11 Markaz, Islamabad | 425 Sq Ft","Rs 70,000","70000","G-11 Markaz, Islamabad•","Not available","Office","","","","","20 hours ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","qjlo94","je5285","ntty52","rh65au"
"1000 SQ, FT Office for Rent In DHA Phase 2","1000 SQ, FT Office for Rent In DHA Phase 2","Rs 60,000","60000","DHA Defence Phase 2, Islamabad•","Not available","Office","","","","","1 day ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","700l9w","vzygu0","nta5jp","rh65au"
"Office for rent available in E-11","Office for rent available in E-11","Rs 12,000","12000","E-11, Islamabad•","Not available","Office","","","","","1 day ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","3obtyb","h7lf1v","nqkgjy","rh65au"
"Office For Rent in DHA Phase 2 3rd floor 1000 sq ft.","Office For Rent in DHA Phase 2 3rd floor 1000 sq ft.","Rs 60,000","60000","DHA Defence Phase 2, Islamabad•","Not available","Office","","","","","1 day ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","enm8u3","vzygu0","nta5jp","rh65au"
"Brand New Studio Office For Rent In Faisal Town Islamabad","Brand New Studio Office For Rent In Faisal Town Islamabad","Rs 30,000","30000","Faisal Town - F-18, Islamabad•","Not available","Office","","","","","2 days ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","wfy0wk","s4u3c7","nrmrrm","rh65au"
"Office For Rent At G-11 Markaz","Office For Rent At G-11 Markaz","Rs 65,000","65000","G-11, Islamabad•","Not available","Office","","","","","3 days ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","mz69ho","cxw1bp","ntdchc","rh65au"
"BLUE AREA OFFICE FOR RENT","BLUE AREA OFFICE FOR RENT","Rs 1.20 Lac","120000","Blue Area, Islamabad•","Not available","Office","","","","","3 days ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","lmlvi7","exavh1","pkiz5s","rh65au"
"BRAND NEW OFFICE FOR RENT F-8 MARKAZ","BRAND NEW OFFICE FOR RENT F-8 MARKAZ","Rs 1.05 Lac","105000","F-8 Markaz, Islamabad•","Not available","Office","","","","","3 days ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","fqoid7","3pe0yi","pjikwp","rh65au"
"Small Office For Rent,Best Option For Call Center, Software House,,","Small Office For Rent,Best Option For Call Center, Software House,,","Rs 20,000","20000","Aries Tower, Rawalpindi•","Not available","Office","","","","","4 days ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","8smwut","29tkyy","nr2z69","rh65au"
"I-8 Markaz 450 SQ/FT office for rent","I-8 Markaz 450 SQ/FT office for rent","Rs 80,000","80000","I-8 Markaz, Islamabad•","Not available","Office","","","","","4 days ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","87oio","6jnoj","nudqqf","rh65au"
"460 sq ft Studio Office For Rent for Call Center IT Offices etc","460 sq ft Studio Office For Rent for Call Center IT Offices etc","Rs 45,000","45000","Commercial Market, Rawalpindi•","Not available","Office","","","","","6 days ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","e6ih6a","3eidxv","ns9ram","rh65au"
"OFFICE FOR RENT","OFFICE FOR RENT","Rs 32,000","32000","Chandni Chowk, Rawalpindi•","Not available","Office","","","","","1 week ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","bv8406","174914","nro1qo","rh65au"
"Renovated Office For Rent","Renovated Office For Rent","Rs 85,000","85000","G-11, Islamabad•","Not available","Office","","","","","1 week ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","dljua6","cxw1bp","nugxo2","rh65au"
"Half Furnished Office For Rent In G-11 Markaz","Half Furnished Office For Rent In G-11 Markaz","Rs 35,000","35000","G-11 Markaz, Islamabad•","Not available","Office","","","","","1 week ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","9osvtt","je5285","nrpyp9","rh65au"
"F10 Office For Rent","F10 Office For Rent","Rs 95,000","95000","F-10, Islamabad•","Not available","Office","","","","","1 week ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","t03li7","btqreb","nv0q9f","rh65au"
"Office For Rent 20 Seats","Office For Rent 20 Seats","Rs 80,000","80000","Jayson Mall, Rawalpindi•","Not available","Office","","","","","1 week ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","vkddvu","32fzjf","nudqqf","rh65au"
"Office for rent in g-11 markaz Islamabad","Office for rent in g-11 markaz Islamabad","Rs 70,000","70000","G-11, Islamabad•","Not available","Office","","","","","2 weeks ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","tw87dc","cxw1bp","ntty52","rh65au"
"Luxurious Brand New Offices For Rent In Pakistan Town - Ideal For VariousBusinesses","Luxurious Brand New Offices For Rent In Pakistan Town - Ideal For VariousBusinesses","Rs 12,500","12500","Pakistan Town, Islamabad•","Not available","Office","","","","","2 weeks ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T12:58:32.051Z","cjijqb","x53y1v","nqkk9f","rh65au"
