Title,Description,Price,PriceNumeric,Location,PropertyType,Floor,Bedrooms,Bathrooms,Area,UploadTime,SourceURL,SearchLocation,ExtractedAt,TitleHash,LocationHash,PriceHash
"Office For Rent In PWD Road","Office For Rent In PWD Road","Rs 35,000","35000","PWD Road, Islamabad•","Office","","","","","1 day ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T11:13:39.618Z","ty7alq","woipl7","nrpyp9"
"Hall For Rent On Main GT Road Rawat","Hall For Rent On Main GT Road Rawat","Rs 1 Lac","100000","Rawat, Islamabad•","Hall","","","","","3 weeks ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T11:13:39.618Z","kvnphp","7hfuif","f9t7ya"
"Fully Furnished & Serviced Private Offices","Fully Furnished & Serviced Private Offices","Rs 35,000","35000","Blue Area - Block R, Islamabad•","Office","","","","","3 weeks ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T11:13:39.618Z","1zg54l","rd00vu","nrpyp9"
"SnS Solutions Offers FREE FURNISHED Co-Working Space With 1st Month @50% Off","SnS Solutions Offers FREE FURNISHED Co-Working Space With 1st Month @50% Off","Rs 21,000","21000","DHA Defence Phase 2, Islamabad•","Other","","","","","1 week ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T11:13:39.618Z","q64sky","vzygu0","nr3m5s"
"Shared Office Space for Rent - Safari 1 Bahria Town - Beautiful View","Shared Office Space for Rent - Safari 1 Bahria Town - Beautiful View","Rs 15,000","15000","Bahria Town - Safari Villas, Rawalpindi•","Office","","","","","3 weeks ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T11:13:39.618Z","gxbqr3","176x8f","nqmdij"
"Shop On First Floor Available For Rent","Shop On First Floor Available For Rent","Rs 12,000","12000","Gulberg Greens, Islamabad•","Shop","","","","","3 days ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T11:13:39.618Z","wy00zu","reidzo","nqkgjy"
"LG floor available for rent in bahria town phase 4 Civic centre reasonable rent","LG floor available for rent in bahria town phase 4 Civic centre reasonable rent","Rs 90,000","90000","Bahria Town - Civic Centre, Rawalpindi•","Floor","","","","","4 days ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T11:13:39.618Z","cyug5b","wvv8ih","nuxjbs"
"Luxurious Brand New Offices For Rent In PWD Housing Sheme - Ideal For VariousBusinesses!","Luxurious Brand New Offices For Rent In PWD Housing Sheme - Ideal For VariousBusinesses!","Rs 12,500","12500","PWD Housing Scheme, Islamabad•","Office","","","","","2 weeks ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T11:13:39.618Z","bepw6u","hgsfu5","nqkk9f"
"3 Bed Flat For Office Purpose In Pwd Walk To ISB Highway","3 Bed Flat For Office Purpose In Pwd Walk To ISB Highway","Rs 40,000","40000","PWD Housing Society - Block D, Islamabad•","Office","","","","","1 day ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T11:13:39.618Z","1r7k6p","7umrrh","ns6kcz"
"700 Sqft Office Hall Available For Rent On PWD Housing Scheme Strategically Located For Maximum Visibility And Convenience Ideal For Growing Businesses Looking For A Prime Commercial Space","700 Sqft Office Hall Available For Rent On PWD Housing Scheme Strategically Located For Maximum Visibility And Convenience Ideal For Growing Businesses Looking For A Prime Commercial Space","Rs 55,000","55000","PWD Housing Scheme, Islamabad•","Office","","","","","2 weeks ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T11:13:39.618Z","s8esef","hgsfu5","nstjvz"
